index,lng_bor,area,hor_overl,vrt_overl,clr_score,cluster_clr_score
ISIC_0000000,34428,363478,10794,26459,3,2.452288
ISIC_0000001,13923,52813,1253,1513,2,2.464925
ISIC_0000002,31140,236003,6558,6247,2,2.462081
ISIC_0000003,28182,259413,7983,7733,2,2.274626
ISIC_0000004,26814,268322,7082,2375,2,2.269679
ISIC_0000006,16383,68729,1944,1964,2,2.452118
ISIC_0000007,14340,66916,985,973,2,2.447347
ISIC_0000008,30030,260172,2694,11469,2,2.313062
ISIC_0000009,25317,177074,3555,5691,2,2.234170
ISIC_0000010,14154,61452,3562,2473,1,2.260927
ISIC_0000011,22218,138072,7142,6043,2,2.225262
ISIC_0000012,10848,37685,405,912,1,2.433963
ISIC_0000013,24876,191571,3707,2178,3,2.487588
ISIC_0000014,29070,215113,3436,6702,2,2.429130
ISIC_0000015,28050,183585,6560,12774,2,2.456713
ISIC_0000016,21663,160277,6198,4798,3,2.527873
ISIC_0000017,31398,255952,5195,7888,2,2.425793
ISIC_0000018,41604,392226,8933,20125,2,2.165641
ISIC_0000019,40344,542786,21401,23490,2,2.451441
ISIC_0000020,43041,396953,12870,11809,2,2.407378
ISIC_0000021,50175,421401,37528,29736,2,2.068292
ISIC_0000022,46923,760161,20325,28036,2,2.450974
ISIC_0000023,32535,295075,5305,9910,2,2.392539
ISIC_0000024,38817,562178,9386,18278,1,2.448983
ISIC_0000025,45885,322966,10815,24973,2,2.332733
ISIC_0000026,50838,902131,30744,37430,2,2.423731
ISIC_0000027,36981,315350,6642,8470,2,2.166200
ISIC_0000028,40293,399206,3921,10055,3,2.481166
ISIC_0000029,48786,648847,11692,17915,3,2.461927
ISIC_0000030,48111,840994,8123,13716,3,2.474430
ISIC_0000031,40617,550561,16104,19982,2,2.499249
ISIC_0000032,39534,556018,16727,12735,2,2.416955
ISIC_0000034,37206,342168,5392,5885,2,2.460532
ISIC_0000035,55470,781213,12211,9739,2,2.301985
ISIC_0000036,45315,662680,17018,37932,4,2.437745
ISIC_0000037,59925,720712,26424,43938,2,2.480924
ISIC_0000038,60639,879518,19774,31520,2,2.497958
ISIC_0000039,34713,369734,3944,5590,2,2.540701
ISIC_0000040,36366,277526,30511,22616,2,2.404748
ISIC_0000041,19662,114443,2530,4856,3,2.484745
ISIC_0000042,40791,565962,21561,20212,3,2.265237
ISIC_0000043,44496,692732,36545,37081,2,2.462346
