index,lng_bor,area,hor_overl,vrt_overl,cluster_clr_score,lesion_label
ISIC_0013319,96207,805944,31253,38551,2.246315,False
ISIC_0013325,34245,453887,5769,6515,2.172206,False
ISIC_0013393,93183,3418713,50256,64948,2.157538,False
ISIC_0013399,39639,616946,10052,14612,2.138193,False
ISIC_0013416,38244,160835,3488,3802,2.327378,False
ISIC_0013421,101640,1834049,67879,96064,2.249289,False
ISIC_0013465,34497,253275,2522,3011,2.158072,False
ISIC_0013511,34191,430713,10691,17562,2.211604,False
ISIC_0013512,26325,100867,1015,2607,2.280186,False
ISIC_0013527,9906,32505,498,1794,2.281216,False
ISIC_0013529,46104,486279,18814,21271,2.219556,False
ISIC_0013561,34458,433861,8646,10675,2.141836,False
ISIC_0013562,51300,679791,20751,10698,2.117907,False
ISIC_0013600,59748,1277609,19600,21319,2.163106,False
ISIC_0013602,33822,429130,15713,18293,2.139372,False
ISIC_0013632,59700,1360717,14901,21433,2.153390,False
ISIC_0013637,59778,789336,23111,14952,2.201300,False
ISIC_0013673,19653,153467,4402,3601,2.064421,False
ISIC_0013708,115077,5790501,588148,581399,2.005275,False
ISIC_0013738,26769,99582,1497,2830,2.324301,False
ISIC_0013764,71184,2119533,63033,53911,2.328768,False
ISIC_0013793,34182,299962,17423,30163,2.227390,False
ISIC_0013794,39885,245062,3759,10981,2.270693,False
ISIC_0013809,91617,3164315,104770,48146,2.259801,False
ISIC_0013863,16638,107841,2894,7957,2.082898,False
ISIC_0013891,18594,135581,2989,2873,2.311453,False
ISIC_0013897,74181,375327,27781,22996,2.250807,False
ISIC_0013898,48042,585089,16564,10580,2.265991,False
ISIC_0013911,39480,176104,5876,7211,2.298512,False
ISIC_0013945,42147,260889,17625,19736,2.131163,False
ISIC_0013966,20949,158570,3724,8748,2.008526,False
ISIC_0013977,29082,318041,7599,10427,2.130186,False
ISIC_0013998,39111,543080,13357,24093,2.012741,False
ISIC_0014006,48420,908167,11845,15080,2.240380,False
ISIC_0014038,79479,1069896,53776,65121,2.154088,False
ISIC_0014055,115575,4039229,95723,91408,2.166709,False
ISIC_0014090,37974,135145,6368,4935,2.216153,False
ISIC_0014117,77013,462607,21683,37866,2.182551,False
ISIC_0014139,61050,805744,21526,41988,2.129347,False
ISIC_0014162,37506,306056,15860,15596,2.268923,False
ISIC_0014177,40548,657916,28269,15037,1.918891,False
ISIC_0014178,54975,573077,40845,32454,2.204289,False
ISIC_0014211,75630,1342298,37286,35210,1.958548,False
ISIC_0014212,129471,6138612,430207,505101,2.189865,False
ISIC_0014251,49293,963505,14285,18128,2.036732,False
ISIC_0014278,32055,410175,7371,5164,2.145754,False
ISIC_0014310,47679,588260,14316,9887,2.020141,False
ISIC_0014382,97482,2722414,160281,170036,2.168378,False
ISIC_0014386,95130,3421886,81116,66592,2.198764,False
ISIC_0014392,88632,3046505,68100,104835,2.329006,False
ISIC_0014409,71679,489954,8946,17319,2.165938,False
